City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
309,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,56.91,57,69,6.31,broken clouds
310,Korla,CN,41.7597,86.1469,76.14,27,99,12.95,overcast clouds
311,Thompson,CA,55.7435,-97.8558,80.76,36,0,12.66,clear sky
312,Aklavik,CA,68.2191,-135.0107,48.2,87,100,16.11,overcast clouds
313,Boa Vista,BR,2.8197,-60.6733,84.18,70,75,5.75,broken clouds
314,Acajutla,SV,13.5928,-89.8275,84.27,72,94,4.5,overcast clouds
315,Cascais,PT,38.6979,-9.4215,87.15,48,98,5.99,light rain
316,Yanliang,CN,34.6592,109.2292,78.44,91,97,2.48,overcast clouds
317,Senador Guiomard,BR,-10.1522,-67.7392,82.15,57,98,1.19,overcast clouds
318,Alice Springs,AU,-23.7,133.8833,27.95,86,0,2.3,clear sky
319,Magdiwang,PH,12.491,122.5135,82.11,78,92,7.14,overcast clouds
320,Villagarzon,CO,1.0375,-76.6267,75.24,91,91,1.66,overcast clouds
321,Pochutla,MX,15.7432,-96.4661,90.82,62,100,4.9,overcast clouds
322,Iqaluit,CA,63.7506,-68.5145,46.13,71,75,6.91,broken clouds
323,Molteno,ZA,-31.3968,26.3625,43.14,48,0,9.31,clear sky
324,Benton Harbor,US,42.1167,-86.4542,76.32,77,75,9.22,broken clouds
325,Tual,ID,-5.6667,132.75,79.16,81,87,26.02,overcast clouds
326,Massafra,IT,40.5888,17.117,74.08,60,0,12.19,clear sky
327,Xique-Xique,BR,-10.8218,-42.7263,80.33,51,32,9.51,scattered clouds
328,Guilin,CN,25.2819,110.2864,77.11,90,2,1.03,clear sky
329,Fershampenuaz,RU,53.5202,59.8117,64.53,84,43,6.2,scattered clouds
330,Omboue,GA,-1.5746,9.2618,70.81,89,9,5.44,clear sky
331,Boden,SE,65.8252,21.6886,60.8,75,97,1.68,overcast clouds
332,East London,ZA,-33.0153,27.9116,59.4,76,0,6.69,clear sky
333,Pahalgam,IN,34.0333,75.3333,58.55,84,87,1.59,overcast clouds
334,Cockburn Town,TC,21.4612,-71.1419,84.16,65,40,13.8,scattered clouds
335,Celestun,MX,20.8667,-90.4,85.6,71,100,16.58,overcast clouds
336,Belton,US,38.812,-94.5319,93.54,38,1,1.01,clear sky
337,Tautira,PF,-17.7333,-149.15,76.69,72,48,15.19,scattered clouds
338,Mzimba,MW,-11.9,33.6,58.41,67,17,8.63,few clouds
339,Ovsyanka,RU,55.9575,92.5519,52.77,92,44,2.95,scattered clouds
340,Hambantota,LK,6.1241,81.1185,79.14,94,20,10.36,few clouds
341,Ossora,RU,59.2353,163.0719,70.77,67,23,3.4,few clouds
